,cookie_domain,stmt,No-data-collection,No-tracking,No-data-coll.-for-oba,No-display-OBA,Other
42,krxd.net,"Clicking on the opt-out button will result in a persistent 'cookie' placed in your web browser by Salesforce Audience Studio, identifying you as being on the Salesforce Audience Studio 'do not target' list.",0,0,0,0,1
43,krxd.net,"Please note that if you delete, block, or otherwise restrict cookies, or if you use a different computer, device or Internet browser, you will need to renew your opt-out choice.",0,0,0,0,1
44,krxd.net,"Also, because we utilize HTML5 cookies to record your opt-out choice, it may take an additional visit to one of our Clients' websites for your opt-out choice to go into effect.",0,0,0,0,1
45,scorecardresearch.com,"To opt-out of having ScorecardResearch's market research programs associated with your browser, please click here.",0,1,0,0,0
46,scorecardresearch.com,"This opt-out will also prevent you from receiving invitations to participate in market research surveys from ScorecardResearch or VoiceFive, Inc. (an affiliate of Full Circle Studies, Inc., that offers surveys across the Internet).",0,0,0,0,1
47,scorecardresearch.com,"However, it is important that you understand that this opt-out is cookie based (i.e., a cookie must be on your computer to tell our systems that you have opted-out).",0,0,0,0,1
48,scorecardresearch.com,"So, if you delete, block or otherwise restrict cookies, this opt-out may not be effective.",0,0,0,0,1
49,scorecardresearch.com,"Additionally, because different computers and different Internet browsers all require their own version of the opt-out cookie, you need to perform this opt-out process on any computers and browsers that you want to be opted-out.",0,0,0,0,1
50,crwdcntrl.net,"To opt-out of the collection and use of data by Lotame for online interest-based advertising on your browser (including a mobile browser if third-party cookies are enabled in your browser), you can click the button below.",0,0,1,0,0
51,crwdcntrl.net,"Generally, you can opt-out of the collection of data across unaffiliated sites over time for Interest-Based Advertising and other purposes from companies participating in the Digital Advertising Alliance Consumer Choice Page at www.aboutads.info/choices and from members of the Network Advertising Initiative via www.networkadvertising.org/choices.",0,0,0,0,1
52,crwdcntrl.net,"Additionally, Lotame provides you with the ability to opt-out of the collection and use of your information for interest-based advertising via all of Lotame's Services.",0,0,0,0,1
53,amazon-adsystem.com,You can obtain further information on interest-based ads and opt-out of receiving interest-based ads from third party advertisers and ad networks who are members of the Network Advertising Initiative (NAI) or who follow the DAA's Self-Regulatory Principles for Online Behavioral Advertising by visiting the opt out pages on the NAI website and DAA website.,0,0,0,0,1
54,turn.com,"The Amobee Opt Out Mechanism will only opt you out of tailored advertising delivered by Amobee in this browser or in mobile applications on this device (e.g., phones, tablets).",0,0,0,1,0
55,turn.com,"If you opt out, you will still see ads, including contextually tailored ads (i.e., ads tailored to the current website or app you are viewing) and ads based on your current location, they just may not be relevant to your interests.",0,0,0,1,0
56,exelator.com,"This page enables users to opt out of collection and use of personal data in connection with Nielsen Marketing Cloud services, including sales of personal data or information under relevant laws as described below.",1,0,0,0,0
57,exelator.com,"If you opt out, no additional informational cookies will be delivered to you from the Nielsen Marketing Cloud, and Nielsen Marketing Cloud will no longer process your personal data in connection with personalized advertising activities (or sell your personal data or information as defined by relevant laws) conducted online via Nielsen Marketing Cloud and its partners.",1,0,0,0,0
58,exelator.com,Please note that by opting out through this interface you are only opting out of collection and use of your personal data online (i.e. via your browser).,1,0,0,0,0
59,exelator.com,"For more information, including information about how to opt out on other types of devices, review the Nielsen Marketing Cloud full Privacy Statement at: https://www.nielsen.com/us/en/legal/privacy-statement/nielsen-marketing-cloud-privacy-notice/?#users-choice",0,0,0,0,1
60,exelator.com,You can also review the opt-out tool from the Network Advertising Initiative to make choices about how other organizations collect and use your data: https://thenai.org/opt-out/,0,0,0,0,1
61,simpli.fi,"If you wish us not to collect these events and thus, to deliver an untargeted advertising experience, please click the opt-out button below",0,0,1,0,0
62,rfihub.com,Sizmek provides the following options for controlling your choices or opting out of Sizmek data collection for ad serving and for interest-based advertising.,0,0,1,0,0
63,rfihub.com,"If you have previously opted out, and would like to reverse your setting, Click Here to opt back in.",0,0,0,0,1
64,rfihub.com,Sets the Sizmek opt-out cookie for the browser in which the user's opt-out choice is made.,0,0,0,0,1
65,sitescout.com,"By choosing the enhanced opt-out option below, a new sync will be triggered to notify those partners to overwrite the previously synced ID with the string cookie-optout.",0,0,0,0,1
66,sitescout.com,For additional options to opt out of tracking by other,0,0,0,0,1
67,sitescout.com,"The opt-out requires a cookie to be stored by your browser, in order to signal your opt-out status to us during future ad calls.",0,0,0,0,1
68,sitescout.com,"By opting-out, you consent to Basis Technologies' opt-out cookie being stored by your browser.",0,0,0,0,1
69,bidr.io,Please click our opt out here if you'd like to opt-out from having Beeswax collect your information in connection with our technology.,1,0,0,0,0
70,bidr.io,"When you opt out, we will place an opt-out cookie on your computer.",0,0,0,0,1
71,bidr.io,"If you block, delete or restrict cookies in any way, your opt-out request will not work.",0,0,0,0,1
72,bidr.io,"Also, opt-out settings are specific to each browser or device, so you will need to set your opt-out preference for each one, and if you use a different computer or Internet browser, you may need to renew your opt-out choice.",0,0,0,0,1
73,bidr.io,"If you opt-out through this method, we will not use your personal information in our Services; however, we may continue to use your information collected for other purposes, such as our own marketing.",0,0,0,0,1
74,bidr.io,"If you wish to opt-out of such other uses of your information, see our Website Privacy Policy.",0,0,0,0,1
75,pippio.com,"By opting out, you will no longer be shown targeted advertisements which are powered by Arbor.",0,0,0,1,0
76,pippio.com,"Arbor is now part of LiveRamp, if you'd like to opt-out of LiveRamp, click here.",0,0,0,0,1
77,pippio.com,"Upon receiving an opt-out request on one device (eg, your current browser), we automatically propagate that opt-out preference to each of your connected devices which we are aware of, both now and in the future.",0,0,0,0,1
78,pippio.com,There are several ways to opt-out.,0,0,0,0,1
79,pippio.com,"You may simply opt-out your current browser, which may lose effectiveness when you switch browsers or clear your cookies, or you can opt-out a specific email address or Android Advertising ID (AAID.)",0,0,0,0,1
80,pippio.com,Opting out an email address or AAID is a permanent opt-out that is stored on our servers forever.,0,0,0,0,1
81,dotomi.com,"If you do not want us or our service providers to place a cookie on your hard drive, you may be able to turn that feature off in your browser or device settings, and you may opt out here from our use of Beeswax cookies on your device.",1,0,0,0,0
82,dotomi.com,"By clicking on the links below, you can view and delete the data Conversant uses to serve you ads and opt out of data collection and advertising from our cookie, which utilizes Conversant's technology.",0,0,1,0,0
83,adform.net,You can opt-out from tracking and Adform's unique cookie identifiers here.,0,1,0,0,0
84,adform.net,"When you opt-out, any data we hold will be disassociated from your browser and device and not used for ad targeting anymore.",0,1,1,0,0
85,adform.net,Adform needs to set an anonymous opt-out cookie to indicate your decision not to be tracked.,0,1,0,0,0
86,adform.net,Your opt-out will remain in effect only as long as this cookie is present in your browser and accessible to Adform.,0,0,0,0,1
87,adform.net,Cookies are browser and device-specific - opting out of tracking on this browser and device does not affect your settings on a secondary device and/or browser.,0,0,0,0,1
88,adform.net,"Some browsers (e.g. Safari) limit cookie functionalities by default - in consequence, your opt-out may not work as intended.",0,0,0,0,1
89,3lift.com,It does mean that the company from which you have opted out of receiving interest-based advertising will no longer deliver interest-based ads to you on a particular browser or device.,0,0,0,1,0
90,3lift.com,For browsers we offer a cookie-based opt-out.,0,0,0,0,1
91,3lift.com,"When you opt out in a web browser, an opt-out cookie will be stored in your browser.",0,0,0,0,1
92,3lift.com,"Once the opt-out is set, the opt-out is retained, but data previously stored in our Services ages out after about 30 days.",0,0,0,0,1
93,3lift.com,You can opt-out of receiving ads that are personalized by our clients and partners using our technology by using the opt-out tool below.,0,0,0,1,0
94,onaudience.com,"If you do not want to see personalized ads from our partners, you can opt out at any time by clicking the button below.",0,0,0,1,0
95,onaudience.com,An opt-out cookie will be installed in your browser and block the placement of cookies from OnAudience.,1,0,0,0,0
96,onaudience.com,"Please note that for multiple browsers and devices, you must opt out on each browser or device, and if you delete your browser cookies you must opt out again.",0,0,0,0,1
97,onaudience.com,Opting out is equivalent to using Do not sell my personal data functionality as required by the CCPA (California Consumer Privacy Act).,0,0,0,0,1
98,fifty.com,Opt out of data collection.,1,0,0,0,0
99,stackadapt.com,Press the button below if you wish to opt out of StackAdapt's cookie mechanism for tracking and ad targeting purposes on this website.,0,1,0,1,0
100,stackadapt.com,"When you opt out, an opt-out cookie will be stored on your web browser for srv.stackadapt.com.",0,0,0,0,1
101,stackadapt.com,"If you disable, block, or delete this cookie, your opt-out choice will not be known.",0,0,0,0,1
102,acuityplatform.com,California data subjects may opt-out of the sale of their personal information by clicking the above links.,0,0,0,0,1
103,acuityplatform.com,"Also, where we receive a request to opt-out of your sale of personal information from a publisher, or SSP we will apply that opt-out request as well.",0,0,0,0,1
104,acuityplatform.com,"If you opt-out from that processing, AcuityAds will set a cookie on your browser that tells AcuityAds not to tailor ads to your interests - including IBA and cross-device ads.",0,0,0,1,0
105,acuityplatform.com,"Opting out does not mean you will not be served an ad by AcuityAds, but the ads we serve will be less relevant to your interests.",0,0,0,1,0
106,acuityplatform.com,Please note that the opt-out cookie only applies to the computer and browser where it is set.,0,0,0,0,1
107,acuityplatform.com,"Also, if you delete the opt-out cookie (such as by clearing all cookies on your browser), you will need to renew your opt-out choice.",0,0,0,0,1
108,agkn.com,"If you would like to opt-out of Neustar's use of information about you in connection with Cookie-based marketing and analytics services, click here for a simple, easy to use link",0,0,1,0,0
109,agkn.com,"Alternatively, you can also opt out of the use of Neustar services Cookies by using the Network Advertising Initiative (NAI) Consumer Opt-Out tool, the Digital Advertising Alliance (DAA) tool here, or the European Digital Advertising Alliance (EDAA) Opt-Out tool.",0,0,0,0,1
110,home.neustar,Click here to opt out of the use of Cookies on Neustar websites,1,0,0,0,0
111,creativecdn.com,You may also opt out specifically from RTB House tracking technology that will prevent us from collecting information from your browser and result in the deletion or effective anonymization of all data previously collected.,1,1,0,0,0
112,creativecdn.com,Opt Out to no longer see personalized ads from RTB House,0,0,0,1,0
113,creativecdn.com,An opt-out cookie will be installed in your browser and block the placement of cookies from RTB House.,1,0,0,0,0
114,creativecdn.com,"Please note that for multiple browsers and devices, you must opt out on each browser or device, and if you delete your browser cookies you must opt out again.",0,0,0,0,1
115,owneriq.net,"If you do not want to receive ads displayed by ownerIQ based on your browsing, you can opt out as described below.",0,0,0,1,0
116,spotxchange.com,Opt out of our cookie anytime by clicking the button below,1,0,0,0,0
117,technoratimedia.com,"If you do not want to receive interest-based ads from searchandnews.com, you can disable the display of such ads by clicking on the opt-out button below.",0,0,0,1,0
118,technoratimedia.com,"You have opted out of the sale of your personal data, searchandnews.com will instruct our partners and third-parties that they may not use your personal data to serve you personalized content and advertisements.",0,0,0,0,1
119,technoratimedia.com,Please note that an opt out will not prevent you from seeing advertisements on technorati.com.,0,0,0,0,1
120,technoratimedia.com,"Because our tracking mechanisms operate at the device and browser level, to fully opt-out across devices, you will need to do so on each device and browser individually.",0,0,0,0,1
121,mxptint.net,"For that reason, we offer users the ability to opt out of the use of their online behavior to select ads.",0,0,1,0,0
122,mxptint.net,"When your browser has this cookie, Valassis' systems will know that you have opted out and will not attempt to target ads based on your online browsing activities.",0,0,0,1,0
123,gumgum.com,"By choosing to opt-out, you are opting out of the behavioral targeting.",0,0,0,1,0
124,gumgum.com,We have placed an opt-out cookie on your computer which tells us not to use your information for delivering targeted online advertisements.,0,0,1,0,0
125,gumgum.com,"At this time, there is no way to opt out of receiving GumGum's advertising, however you always have the option to close each ad individually.",0,0,0,0,1
126,gumgum.com,Your opt-out choice is stored in an opt-out cookie only in this browser.,0,0,0,0,1
127,gumgum.com,"Deleting browser cookies can remove your opt out preference, so you should visit this page periodically to review your preference.",0,0,0,0,1
128,gumgum.com,Your opt-out choice has been recorded.,0,0,0,0,1
129,adgrx.com,You can opt out of interest-based advertising supported by the AdGear platform.,0,0,0,1,0
130,adgrx.com,"When you choose to opt out of interest-based ads via the AdGear platform, an opt-out cookie will be stored in your web browser.",0,0,0,0,1
131,adgrx.com,AdGear's platform will know the choice you have made when it reads your opt-out cookie and will apply your choice to all advertisers that use our platform.,0,0,0,0,1
132,adgrx.com,"Should you delete the opt-out cookie, you will not be opted out and will need to allow cookies from AdGear again in order to renew your opt-out choice.",0,0,0,0,1
133,ipredictive.com,You can opt out of interest-based advertising from Adelphic by following the instructions below for web browsers and for mobile apps.,0,0,0,1,0
134,ipredictive.com,"To opt out of interest-based advertising from Adelphic via a web browser, click here in your browser.",0,0,0,1,0
135,ipredictive.com,"When you opt-out, we will drop an opt-out cookie on your browser that tells our servers not to engage in interest-based advertising on that browser.",0,0,0,1,0
136,smartadserver.com,"If you wish to opt-out, click here.",0,0,0,0,1
137,smartadserver.com,"A blank page will open, confirming the opt-out process has been completed and Smart will no longer place cookies on your computer.",1,0,0,0,0
138,smartadserver.com,"However, please note that some websites may not be accessible or function properly if you decide to opt-out from all cookies.",0,0,0,0,1
139,smartadserver.com,"Please note that for us to acknowledge your desire to opt-out, one cookie will be placed on your device in order to ensure the performance of your opt-out.",0,0,0,0,1
140,smartadserver.com,"Moreover, this opt-out will only be available for the device on which it was created.",0,0,0,0,1
141,eyereturn.com,"If you do not wish to have Eyereturn use your information for tailoring advertisements and the presentation of customized content, you may opt-out at any time by doing any of the following",0,0,0,1,0
142,eyereturn.com,Please check your opt-out status below.,0,0,0,0,1
143,eyereturn.com,"If you have not opted-out, you will see an Opt-out button.",0,0,0,0,1
144,eyereturn.com,"Please note that if you delete or block party cookies, change Web browsers, or use a different computer, you will need to undertake the opt-out again.",0,0,0,0,1
145,zemanta.com,"If you no longer want to see interest based advertising, please click on the opt-out button below.",0,0,0,1,0
146,zemanta.com,"Please note that you will still see ads if you opt out, they just won't be interest-based or otherwise targeted to you.",0,0,0,1,0
147,postrelease.com,You can opt out of all targeting of any Ads by all Advertisers using Nativo's services using Personal Data collected on your browser by clicking below,0,0,0,1,0
148,postrelease.com,"When you opt out of receiving interest-based Ads, we will stop collecting Personal Data from the browser that you used to opt out for purposes of targeting Ads.",0,0,1,0,0
149,postrelease.com,"Note that if you use multiple devices and/or web browsers, you would need to visit this link on each browser/device to fully opt-out of interest-based Advertising.",0,0,0,0,1
150,postrelease.com,Opting-out from your Desktop Browser.,0,0,0,0,1
151,postrelease.com,What Your Rights are (including your 'opt-out' rights).,0,0,0,0,1
152,liadm.com,You can opt-out of the cookie-based portion of the LiveIntent Advertising Program by clicking here.,1,0,0,0,0
153,liadm.com,Visit the Network Advertising Initiative and the Digital Advertising Alliance to see your opt-out choices from other participating companies.,0,0,0,0,1
154,districtm.io,"By clicking the opt out link below, the main identification cookie in this browser will be deleted and replaced with an opt out cookie that will prevent District M from identifiying this device",0,1,0,0,0
155,cogocast.net,Opting Out of Tracking,0,1,0,0,0
156,cogocast.net,"You may opt-out of CogoCast's Services and Site at any time, by setting a cookie which tells CogoCast's system to ignore you.",0,0,0,0,1
157,cogocast.net,You are currently opted out of CogoCast tracking.,0,1,0,0,0
158,cogocast.net,Please note that when you opt-out we still need to maintain a cookie on your computer in order to recognize that you've opted out.,0,0,0,0,1
159,cogocast.net,"You must opt-out in this same manner again if you want to clear that cookie from your browser, or if you use a different Internet browser or different computer to access the Internet.",0,0,0,0,1
160,creative-serving.com,To enable our cookies please click 'opt-out'.,0,0,0,0,1
161,admixer.net,"Please note that by opting out, you still will receive advertising when you visit any websites.",0,0,0,0,1
162,bttrack.com,Bidtellect will set an opt out cookie in your browser,0,0,0,0,1
163,media.net,"If you don't want to see ads personalized to your interests from Media.net, you may do so by selecting the opt-out choice on this page.",0,0,0,1,0
164,media.net,"Once you have opted out, Media.net will not use any data collected by its cookies to influence or personalize Media.net ads.",0,0,0,1,0
165,media.net,Your preference (to opt-out) will be stored in an opt-out cookie.,0,0,0,0,1
166,media.net,You may also opt out of Media.net and other Network Advertising Initiative members on the NAI site.,0,0,0,0,1
167,media.net,"To find out more and/or opt-out of NAI member cookies, click here.",0,0,0,0,1
168,resetdigital.co,"If not, simply click Opt-out.",0,0,0,0,1
169,extend.tv,This opt-out cookie tells us not to collect your non-personally identifiable information in order to tailor the ads that you see while online.,0,0,1,0,0
170,extend.tv,"Please note that if you delete, block or otherwise restrict cookies, or if you use a different computer or Internet browser, you may need to renew your opt-out choice.",0,0,0,0,1
171,33across.com,"Currently, you are opted-out of 33Across ad targeting.",0,0,0,1,0
172,yieldmo.com,Opt out of Yieldmo enabled tailored ads,0,0,0,1,0
173,yieldmo.com,Please understand that Yieldmo will set an opt-out cookie on your browser to save your preference.,0,0,0,0,1
174,admedo.com,"Choosing not to see personalised ads, changing your recommendations and opting out of your browsing history will not affect other services that use the same technology, such as cookies, and information may still be collected for other purposes.",0,0,0,0,1
175,eqads.com,You may opt-out of interest-based advertising on your browser by clicking the button below.,0,0,0,1,0
176,brand-display.com,"If you prefer that we do not collect information about your visit, you may opt out by clicking here",1,0,0,0,0
177,brand-display.com,Remember that opting out is browser-specific.,0,0,0,0,1
178,brand-display.com,"So, if you have multiple browsers or multiple devices you use to access the internet and the Websites, you'll need to opt out from each device or browser.",0,0,0,0,1
179,brand-display.com,These are some tools that you can use to conveniently opt-out,0,0,0,0,1
180,appier.net,"In addition, you can opt out of receiving targeted ads in connection with Appier's technology by clicking here.",0,0,0,1,0
181,appier.net,Opting out does not mean you will not see advertising - it means you will not see personalized advertising from the companies that participate in the opt-out programs.,0,0,0,1,0
182,appier.net,"Also, if you delete cookies on your device after you opted out, you will need to opt-out again.",0,0,0,0,1
183,pswec.com,"If you do not want to receive interest based online advertising via Proclivity Cookies, click below to opt-out.",0,0,0,1,0
184,pswec.com,"However, such browser changes may impact the effectiveness of the opt-out choice provided by Proclivity via an opt-out cookie, and consumers will need to repeat the opt-out process after changing browsers, computers or deleting their cookies.",0,0,0,0,1
185,eyeota.net,"For California consumers, the presence of the non-unique opt-out cookie means that we will stop the sale of Platform Data.",0,0,0,0,1
186,eyeota.net,Data subjects in California have the right to opt-out from Eyeota's sale of Platform Data.,0,0,0,0,1
187,eyeota.net,Data subjects in the rest of the United States and many other places have the right to opt-out from many forms of ad targeting.,0,0,0,0,1
188,lkqd.net,"To opt out of all LKQD Platform targeting and tracking, please click the 'Opt Out' button below or opt out from 'LKQD Technologies, Inc' via the DAA Consumer Choice Page, which is located here",0,1,0,0,0
189,adroll.com,"After you opt out, data we have collected about your browser will be disassociated from your device.",0,1,0,0,0
190,adroll.com,"When you click Opt-Out, the request may take up to 24 hours to process in our system.",0,0,0,0,1
191,adroll.com,If you delete or clear your cookies you will need to opt out again.,0,0,0,0,1
192,adroll.com,If you update your browser you will need to opt out again.,0,0,0,0,1
193,myvisualiq.net,You can opt out of VIQ's data collection using pixel technology by following this link,1,0,0,0,0
194,myvisualiq.net,Note: We store your opt-out preference on web browsers in a cookie.,0,0,0,0,1
195,myvisualiq.net,"If you delete your cookies, this will remove our ability to recall that you have chosen to opt-out of data collection, and you will be effectively opted back in.",0,0,0,0,1
196,reson8.com,"If you do not wish for us to collect and use information collected across non-affiliated sites over time (i.e., Web Viewing Data and mobile application use data) or maintain information associated with your browser or device, and the browsers and devices we may associate with it, for the purpose interest-based advertising, or the targeting of advertisements based on the inferences we make from the information we collect, you may choose to opt-out by either clicking opt-out in the footer or by clicking here",0,0,1,0,0
197,id5-sync.com,"If you have not already chosen to do so, you can click the button below (or go directly to https://id5-sync.com/privacy/optout) to opt out of having the Platform used to enable our clients to more efficiently serve your relevant ads.",0,0,0,1,0
198,id5-sync.com,"When you opt out, an opt-out cookie (from id5-sync.com) will be stored in your web browser.",0,0,0,0,1
199,id5-sync.com,"The Platform will know the choice you have made when it sees your opt-out cookie, and will apply your choice to all companies using the Platform.",0,0,0,0,1
200,id5-sync.com,"If you block or delete the ID5 opt-out cookie, you will cease to be opted out with respect to the Platform and will need to perform the opt-out process again.",0,0,0,0,1
201,adnxs.com,You can turn off personalized ads across the web from Xandr by opting out.,0,0,0,1,0
202,adnxs.com,You can click below to opt out of having the Xandr Digital Platform used to select ads for your browser based on your online web browsing behavior.,0,0,0,1,0
203,adnxs.com,"If you block or delete the opt out cookie, you will not be opted out and will need to allow cookies from Xandr and renew your opt-out choice.",0,0,0,0,1
204,adnxs.com,The below 'opt out' functionality also prevents Xandr from selling personal information about you under California law.,0,0,0,0,1
205,app.link,"Where Branch detects the presence of that opt-out cookie, we will no longer set cookies (beyond the opt-out cookie itself).",1,0,0,0,0
206,app.link,Our cookie-based opt-out can be accessed by clicking here.,0,0,0,0,1
207,app.link,This will place a Branch opt-out cookie on your browser.,0,0,0,0,1
208,trustx.org,"You may opt-out directly with TRUSTX by clicking this Do Not Deliver Interest-Based Advertising link, which will set a TRUSTX opt-out cookie on your browser.",0,0,0,1,0
209,trustx.org,"The opt-out cookie is unique to the device through which you have opted-out, and there are cases where the cookie may not function properly if you have configured your browser to reject certain cookies.",0,0,0,0,1
210,trustx.org,"Further, if you change browsers or your device, or delete the cookies on your device, you will need to opt-out again",0,0,0,0,1
211,rkdms.com,Opt Out of Online Data Collection for Interest-Based Advertising,0,0,1,0,0
212,taboola.com,"If you do not want to receive interest-based ads from Taboola, you can disable the display of such ads by clicking on the opt-out button below.",0,0,0,1,0
213,taboola.com,"Rather, the opt out will prevent Taboola from using your Information to tailor these recommendations to your interests.",0,0,0,1,0
214,taboola.com,"You have opted out of tracking, Taboola will no longer serve you with personalized content recommendations based on your Internet use history.",0,1,0,0,0
215,taboola.com,"Because our tracking mechanisms operate at the device and browser level, to fully opt-out across devices, you will need to do so on each device and browser individually.",0,0,0,0,1
216,taboola.com,"If your browsers are configured to reject cookies, your opt-out may not be effective, since we identify your choice to opt-out based on an opt-out cookie we deliver to you.",0,0,0,0,1
217,adtelligent.com,"If not, simply click Opt Out.",0,0,0,0,1
218,adtelligent.com,"We remember opt-outs by storing an Opt Out cookie on your browser, so if you delete your cookies you will need to opt out again.",0,0,0,0,1
219,adtelligent.com,"Please also note that Opt Outs are specific to the browser you use so, if you use multiple browsers, you will need to opt out on each browser.",0,0,0,0,1
220,advangelists.com,You can opt-out of receiving ads that are personalized by our clients using our technology by using the opt-out tool below.,0,0,0,1,0
221,advangelists.com,"Once you opt-out, we will no longer collect any information from your device and as a result, our clients will not be able to serve you ads that are targeted to your interests using our technology.",1,0,0,0,0
222,nrich.ai,"If you don't accept us to take advantage of cookies for advertising using the advertising channels N.Rich is connected to and behavioral analytics purposes, please click the Opt-out button above",0,0,1,0,0
223,nrich.ai,"We remember opt-outs by storing an opt-out cookie on your browser, so if you delete your cookies you will need to opt-out again.",0,0,0,0,1
224,nrich.ai,"In order to opt-out or update your preferences related to targeted advertising on Google and Facebook, please use these links: Google ads settings, Facebook ad preferences.",0,0,0,0,1
225,clickagy.com,"To opt-out of our behavioral tracking technologies, click below",0,1,0,0,0
226,skimresources.com,"If you no longer want Skimlinks to store data about the websites you visit, the links you click and the Merchants you buy from, you can simply opt-out here",1,0,0,0,0
227,skimresources.com,"If you opt-out to either one, your data will not be processed by Skimlinks.",1,0,0,0,0
